,0
0,2470.74139793861
1,2458.629941867967
2,2482.3667755259557
3,2489.6271805718457
4,2493.139472417934
5,2504.8117621825063
6,2509.330450507506
7,2493.5906212742957
8,2498.5323301220756
9,2513.4928104158257
10,2487.6712870057704
11,2494.2305111959877
12,2498.4022544858103
13,2521.4180126075835
14,2527.6208113182547
15,2533.669427715899
16,2537.095833997485
17,2541.4385617181665
18,2560.4028359637155
19,2571.0216872905476
20,2579.6694246605953
21,2551.979621446066
22,2561.4199615765997
23,2545.900403389588
24,2560.688353926588
25,2568.8509770927276
26,2561.4254855609724
27,2565.3242038770372
28,2585.902499979985
29,2587.2959335926753
30,2579.628874593917
31,2562.8577030502
32,2565.448233440877
33,2569.8350341014843
34,2559.308777585821
35,2577.346893545471
36,2582.0553898408025
37,2579.4587356469065
38,2565.8108931845286
39,2546.6094526191923
40,2516.300851437141
41,2509.6289817160764
42,2563.4533452443848
43,2553.6459255402665
44,2582.3841739853056
45,2578.8234853887143
46,2572.2998226983573
47,2617.6336311259856
48,2638.5693879830233
49,2618.5112083178824
50,2621.67873580622
51,2634.674939140369
52,2608.776674763984
53,2642.460364812882
54,2661.063219937974
55,2665.329530753694
56,2730.6700058410925
57,2705.728221752257
58,2703.650703994925
59,2730.627744393896
60,2728.890421655703
61,2742.4059720305195
62,2753.6593341389876
63,2759.8640159473985
64,2738.996595178217
65,2735.3262706473556
66,2763.892527782539
67,2758.993370180543
68,2780.3132355650637
69,2762.1963716053037
70,2764.784302839856
71,2754.6533885504605
72,2775.458586323216
73,2780.127517958343
74,2767.0023775942764
75,2803.3745767743267
76,2809.4142893518842
77,2823.9125875809036
78,2844.4550451696023
79,2836.3600848637507
80,2822.9478299393536
81,2823.8857652536526
82,2824.037589115764
83,2790.052491358758
84,2779.1195169523653
85,2757.95334413344
86,2756.8857094863483
87,2713.2794447501633
88,2704.6631850096455
89,2702.3720054580353
90,2684.1123202802887
91,2701.8811435191587
92,2684.020201148345
93,2702.6448342355648
94,2715.935391566713
95,2728.249208669404
96,2735.8082291976334
97,2740.9813505309007
98,2729.898737535999
99,2675.257803786215
100,2651.8735273354664
101,2685.6594080427762
102,2673.2120254258057
103,2696.9793057025763
104,2682.0053599529956
105,2691.856845919124
106,2679.4557578392905
107,2637.1580760918328
108,2629.0346187188047
109,2616.902942535598
110,2647.442090280857
111,2672.334786044342
112,2675.3876648608216
113,2677.130525516872
114,2660.977830493133
115,2658.6990698298564
116,2660.8988632974206
117,2678.650063935856
118,2714.352515046364
119,2739.721236559882
120,2774.1282542574286
121,2775.09548644579
122,2794.2297582683573
123,2807.5230203398287
124,2798.023229504393
125,2788.1150966321793
126,2789.075178219051
127,2817.6767967399337
128,2799.334845290922
129,2793.388347185997
130,2837.0386198443175
131,2819.6608088037465
132,2818.506914099196
133,2797.3084405408044
134,2798.803545558908
135,2784.830694048536
136,2754.376328934271
137,2763.4674007528624
138,2774.282888801407
139,2757.6314615735355
140,2749.3259993639494
141,2762.085327201446
142,2719.6305084209075
143,2707.6211116853533
144,2694.2964538699794
145,2721.3560503517006
146,2707.121525321293
147,2713.38438955696
148,2723.98005291568
149,2713.4725380550503
150,2697.8883556251462
151,2716.6115504194713
152,2745.4306904849773
153,2748.2664520938793
154,2753.6154287254694
155,2762.9995064941827
156,2803.290227683647
157,2820.542078828386
158,2877.7111629215647
159,2874.1371558851965
160,2857.995504282283
161,2888.222426661423
162,2911.1528868006612
163,2893.354760893295
164,2932.8646744981434
165,2950.634875002912
166,2980.1072677061557
167,3008.6159558045424
168,2974.35193263109
169,2963.994205600209
170,2952.051854605727
171,2933.6492717346455
172,2923.8540760211567
173,2937.077727731201
174,2924.4630557411006
175,2941.97432339265
176,2937.5829098924055
177,2944.192042891109
178,2948.242891938952
179,2955.5844974323436
180,2931.414223941458
181,2931.204141068058
182,2928.543357349731
183,2935.3494270426095
184,2921.7207721007467
185,2885.288568519397
186,2903.0883486319844
187,2898.859258935767
188,2933.2187381545814
189,2946.2768415317046
190,2933.4521794117736
191,2955.5490513073023
192,2983.193207717955
193,2996.599872101308
194,3007.2255377737433
195,3014.7091465627723
196,3024.548597391919
197,3008.4455033479258
198,3017.6181299317714
199,3035.2765492790186
200,3030.284807823066
201,3031.426936631228
202,3033.5573764708975
203,3051.714079414778
204,3045.359992576899
205,3077.416215043627
206,3080.0202862782053
207,3110.992464099201
208,3117.9186066597026
209,3124.380476164383
210,3153.5075975711893
211,3129.7971455597653
212,3133.4827871906896
213,3158.9364096302006
214,3197.366460665725
215,3219.180341557437
216,3209.7446954700654
217,3176.882410294449
218,3143.059486739184
219,3146.9740392699673
220,3084.6194161162593
221,3116.155866092161
222,3130.081088270772
223,3107.078183197115
224,3077.6975711577106
225,3074.601802792919
226,3098.636740217802
227,3112.1387270168443
228,3096.9511389859167
